Entry ID,Gender Description,Classification Description 9,Room Preference Description 1,Room Preference Description 2,Room Preference Description 3,Room Preference Comments,Floor Gender Preference,Nationality Description 4,PR Status,Admit Term,Enrollment Term,Faculty,Medical,Enrollment Status
132083,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",15100,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,ARTS & SOCIAL SCIENCES,N/A,CURRENT
133621,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",,#18-103 or #07-103. facing CAPT.,Single Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,SCIENCE,,CURRENT
131858,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",,#18-110,Single Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,ARTS & SOCIAL SCIENCES,Respiratory/breathing difficulties if the air is very polluted (e.g. haze),CURRENT
105327,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)",,,#19-113 my current room,Single Gender Floor,Indonesian,FALSE,1410,6,SCIENCE,,CURRENT
167885,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)",#feefivefuudfam,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
167320,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Non Air-Con)",#feefivefuudfam,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
168255,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Non Air-Con)",#feefivefuudfam,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
171415,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Non Air-Con)",#feefivefuudfam,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
170839,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)",,#feefivefuudfam,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
101335,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",,#greenhousebesthouse OR #seniorfloor15,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,ENGINEERING,Nil,CURRENT
105122,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)",,,#greenhousebesthouse OR #seniorfloor15 (whichever has vacancy for single corridor air-con),No Preference,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,Nil,CURRENT
134534,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",#QueenSamarasFloor,Mixed Gender Floor,Vietnamese,FALSE,1510,4,SCIENCE,NA,CURRENT
138996,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",#QueenSamarasFloor,Mixed Gender Floor,Chinese,TRUE,1510,4,ENGINEERING,-,CURRENT
135706,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",#QueenSamarasFloor,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,ARTS & SOCIAL SCIENCES,History of asthma,CURRENT
139695,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)",,,#QueenSamarasFloor,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,ARTS & SOCIAL SCIENCES,NA,CURRENT
133335,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",#QueenSamarasFloor,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,ARTS & SOCIAL SCIENCES,,CURRENT
133301,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",#QueenSamarasFloor,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,SCHOOL OF COMPUTING,NIL,CURRENT
131580,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)",,#QueenSamarasFloor,Mixed Gender Floor,Indian,FALSE,1510,4,ENGINEERING,NIL,CURRENT
